,subj,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt,session
72,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,22,7920,2.1134458649163395,True,1.705,1
73,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,23,8904,-0.8605829620888906,True,1.705,1
74,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial131_0.wav,0,24,10000,-4.551822243568276,True,1.705,1
75,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,0,100,0.4765109769859369,False,1.705,1
76,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,1,191,-0.8048079362647635,False,1.705,1
77,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,2,293,-0.6678321479393499,False,1.705,1
78,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,3,406,1.1097431630614434,False,1.705,1
79,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,4,533,0.5273011781726027,False,1.705,1
80,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,5,673,0.6371472738602177,False,1.705,1
81,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,6,830,0.5723394520279226,False,1.705,1
82,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,7,1004,-5.998948912944447,False,1.705,1
83,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,8,1199,-2.63644322008872,False,1.705,1
84,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,9,1416,0.4777681450625504,False,1.705,1
85,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,10,1657,-1.9254860308383024,False,1.705,1
86,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,11,1926,2.84835907995118,False,1.705,1
87,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,12,2226,-2.522709472389986,False,1.705,1
88,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,13,2560,-1.8873939239270807,False,1.705,1
89,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,14,2932,1.4317991278713438,False,1.705,1
90,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,15,3346,4.305460487957789,False,1.705,1
91,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,16,3808,3.6379550503091056,False,1.705,1
92,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,17,4322,8.814819080492773,False,1.705,1
93,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,18,4895,0.03976299870852317,False,1.705,1
