,type,subj,session,filter_freq,kernel_gain,norm_gain
111,controls,5,1.0,1926,0.006312915967822283,0.016122166013305357
112,controls,5,1.0,2226,0.17699908986357643,0.45202703877728306
113,controls,5,1.0,2560,0.5046157069429035,1.2887068736100051
114,controls,5,1.0,2932,0.15828403429202284,0.4042318147618259
115,controls,5,1.0,3346,0.23260244313086556,0.5940290069392227
116,controls,5,1.0,3808,0.5050904085523577,1.2899191847184395
117,controls,5,1.0,4322,-0.17261113108701667,-0.44082090199107765
118,controls,5,1.0,4895,-0.23767681689044803,-0.6069881365367881
119,controls,5,1.0,5534,0.022159103062288688,0.05659076409334813
120,controls,5,1.0,6245,0.25341969815693977,0.6471929082460636
121,controls,5,1.0,7037,-0.009124715295581787,-0.023303046574571093
122,controls,5,1.0,7920,-0.2720983961499966,-0.6948952808883432
123,controls,5,1.0,8904,-0.33780385857114137,-0.8626964014060483
124,controls,5,1.0,10000,-0.015670244999523616,-0.04001927043528167
125,controls,6,1.0,100,-0.0869985132332522,-0.2410611322612546
126,controls,6,1.0,191,0.6916458496376185,1.9164572524409
127,controls,6,1.0,293,0.44869408991908905,1.2432707334300435
128,controls,6,1.0,406,-0.6265726738338611,-1.7361482694927435
129,controls,6,1.0,533,0.02028339778960586,0.05620255629149028
130,controls,6,1.0,673,-0.8318129457653105,-2.304841348244033
131,controls,6,1.0,830,0.22712968352850918,0.6293456824339813
132,controls,6,1.0,1004,-0.04604797274874577,-0.1275927143649774
133,controls,6,1.0,1199,0.17699431474365562,0.4904273455974729
134,controls,6,1.0,1416,0.16215005871760443,0.4492959166542925
135,controls,6,1.0,1657,0.08676677862843962,0.24041902696377143
136,controls,6,1.0,1926,-0.060723587387979304,-0.1682568607978995
137,controls,6,1.0,2226,0.663801864326302,1.8393053290762345
138,controls,6,1.0,2560,-0.20724219131751628,-0.5742401270394272
139,controls,6,1.0,2932,0.05085757704190785,0.14091947839288377
140,controls,6,1.0,3346,0.05060324491574889,0.1402147584152226
141,controls,6,1.0,3808,0.2501323420607474,0.6930829430459357
142,controls,6,1.0,4322,-0.19167362946335886,-0.5311017444537335
143,controls,6,1.0,4895,0.061335870286965494,0.16995341403091957
144,controls,6,1.0,5534,0.4984005121692797,1.3810005173421112
145,controls,6,1.0,6245,-0.1448147965316602,-0.40126224601689364
146,controls,6,1.0,7037,-0.012100096714015976,-0.0335277340490976
147,controls,6,1.0,7920,-0.08683674562936562,-0.24061289607529204
148,controls,6,1.0,8904,0.6477513112397435,1.7948314138715975
149,controls,6,1.0,10000,0.27021575856328717,0.7487313781955857
150,controls,7,1.0,100,-0.09688530608693957,-0.28237115407953317
151,controls,7,1.0,191,-0.07758083331619955,-0.22610848148933327
152,controls,7,1.0,293,0.12981252554386072,0.37833717136534983
153,controls,7,1.0,406,-0.823959062371737,-2.4014195831452403
154,controls,7,1.0,533,-0.8240839835676813,-2.4017836645905333
155,controls,7,1.0,673,0.5093063974615372,1.4843678679432912
156,controls,7,1.0,830,0.16982939251520124,0.4949658879965893
157,controls,7,1.0,1004,0.25807472091547123,0.7521559225736762
158,controls,7,1.0,1199,0.13065604302517977,0.380795593744411
159,controls,7,1.0,1416,0.05869503648893973,0.17106603531034742
160,controls,7,1.0,1657,-0.3936309090544179,-1.1472329351091877
161,controls,7,1.0,1926,-0.4834906571653871,-1.4091281780949658
162,controls,7,1.0,2226,0.18739418269899247,0.5461582749093307
163,controls,7,1.0,2560,-0.12415377916084575,-0.3618448175570078
164,controls,7,1.0,2932,-0.08890966930107302,-0.25912624879200263
165,controls,7,1.0,3346,0.3953162614158652,1.152144875944731
166,controls,7,1.0,3808,0.15448027079567833,0.450231042341463
167,controls,7,1.0,4322,-0.43000692238215976,-1.2532504240248943
168,controls,7,1.0,4895,0.4000823516470054,1.166035593261623
169,controls,7,1.0,5534,0.3948504685894402,1.1507873278987808
170,controls,7,1.0,6245,0.16672482721062226,0.4859176667195404
171,controls,7,1.0,7037,0.04589701723742334,0.13376634961043388
172,controls,7,1.0,7920,-0.10445003973214581,-0.3044184867037845
173,controls,7,1.0,8904,0.025362961055920008,0.07392006975555002
174,controls,7,1.0,10000,-0.08897517337268887,-0.25931715968495556
175,controls,8,1.0,100,-1.2239080422741193,-1.9620147141294346
176,controls,8,1.0,191,-0.708258282086078,-1.1353901787220124
177,controls,8,1.0,293,-0.9081324787051621,-1.4558032336217785
178,controls,8,1.0,406,-2.095465535200069,-3.3591855523511858
179,controls,8,1.0,533,-0.10154760236290367,-0.16278828403674997
180,controls,8,1.0,673,0.261812495200499,0.4197047083470931
181,controls,8,1.0,830,0.006811684348458247,0.010919631588373016
182,controls,8,1.0,1004,-0.0020309424001272725,-0.00325575021567396
183,controls,8,1.0,1199,0.7481783914096605,1.1993850534815511
184,controls,8,1.0,1416,0.010679906950829765,0.017120677256215067
185,controls,8,1.0,1657,0.15185033651296245,0.24342727091682134
186,controls,8,1.0,1926,0.06615093841254642,0.10604482529400452
187,controls,8,1.0,2226,-0.1868041301480529,-0.2994607759334763
188,controls,8,1.0,2560,0.6865457806017159,1.1005834400443901
189,controls,8,1.0,2932,-0.38604615903118555,-0.6188604194028952
190,controls,8,1.0,3346,-0.0684522363754973,-0.10973397538449348
191,controls,8,1.0,3808,0.3765167014583112,0.6035839972127841
192,controls,8,1.0,4322,-0.08130593672283178,-0.13033940352239645
193,controls,8,1.0,4895,0.049839176175003955,0.07989586931200662
194,controls,8,1.0,5534,0.3714012104773995,0.5953834884916418
195,controls,8,1.0,6245,0.784034315250461,1.2568647396462398
196,controls,8,1.0,7037,0.0651162039868392,0.10438606981701493
197,controls,8,1.0,7920,0.3202060943831201,0.5133139476445167
198,controls,8,1.0,8904,0.38577770189782756,0.6184300628503042
199,controls,8,1.0,10000,0.1663168554561794,0.26661816602368327
200,controls,9,1.0,100,-1.3314080084380975,-1.9923415655943324
201,controls,9,1.0,191,-1.0176128106803592,-1.522773100019264
202,controls,9,1.0,293,-0.7085648675556431,-1.0603085069369902
203,controls,9,1.0,406,-0.9691046534026072,-1.4501846692735088
204,controls,9,1.0,533,-1.4642087847389642,-2.1910669036503965
205,controls,9,1.0,673,-0.38644101294142935,-0.578276897730846
206,controls,9,1.0,830,0.2447177985920495,0.3661998717790882
207,controls,9,1.0,1004,-0.30850649440173633,-0.46165436001352705
208,controls,9,1.0,1199,1.2508118931663095,1.8717361693042882
209,controls,9,1.0,1416,0.22417548579476262,0.33546000587765973
210,controls,9,1.0,1657,0.6148081971707282,0.9200094323665086
211,controls,9,1.0,1926,0.31502913738992755,0.47141495380637266
212,controls,9,1.0,2226,-0.0008065268409883017,-0.0012069004684398324
213,controls,9,1.0,2560,-0.03211839351825589,-0.04806250977985761
214,controls,9,1.0,2932,0.596126491270986,0.8920538102398781
215,controls,9,1.0,3346,0.4086007980563724,0.6114371766906614
216,controls,9,1.0,3808,0.2928715201110962,0.43825791883334814
217,controls,9,1.0,4322,-0.3990707519175658,-0.597176253724868
218,controls,9,1.0,4895,0.43177043336779675,0.6461086126427151
219,controls,9,1.0,5534,0.08667564758316891,0.1297029117372793
220,controls,9,1.0,6245,0.221523119242879,0.3314909595034314
221,controls,9,1.0,7037,-0.020095105398554136,-0.030070657151526306
222,controls,9,1.0,7920,-0.1525797084717832,-0.22832286821769793
223,controls,9,1.0,8904,0.6859151868418232,1.0264151398792678
224,controls,9,1.0,10000,0.9322489371632559,1.3950331492826151
225,controls,10,1.0,100,-0.5240734548379327,-1.190132902305662
226,controls,10,1.0,191,-0.16321556658785563,-0.3706507440349903
227,controls,10,1.0,293,-0.490083969126153,-1.1129452391935382
228,controls,10,1.0,406,-0.9865850661600084,-2.240463311624017
229,controls,10,1.0,533,-0.5540788583309608,-1.2582730029239109
230,controls,10,1.0,673,0.6725026447920421,1.5272048547127746
231,controls,10,1.0,830,0.7503573013466851,1.7040071474219933
