subj,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt 
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,6,830,7.719766291293021,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,7,1004,-0.6229313289579141,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,8,1199,-1.8413760651349063,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,9,1416,0.8882033953703343,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,10,1657,-4.347690065702967,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,11,1926,1.9058986868333405,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,12,2226,-1.1618330986685652,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,13,2560,3.1514936396764357,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,14,2932,8.33711886494919,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,15,3346,2.3914900953888214,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,16,3808,7.331511578570549,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,17,4322,-5.75882981275011,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,18,4895,0.6745113441850826,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,19,5534,7.644313586559207,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,20,6245,0.8330421319831689,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,21,7037,1.8450462437246973,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,22,7920,2.9589998171747256,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,23,8904,4.743016818654144,False,0.482
1,85,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial273_0.wav,1,24,10000,0.5408400778879573,False,0.482
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,0,100,-1.7090972328376615,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,1,191,-3.2581645227921503,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,2,293,-10.754371269558005,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,3,406,-2.0966428762421483,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,4,533,0.039873042265093604,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,5,673,-5.823419551567732,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,6,830,3.096856178805638,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,7,1004,0.0007839327640462889,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,8,1199,3.3761183002337103,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,9,1416,-1.5164551822649548,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,10,1657,7.181879756287996,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,11,1926,0.6781136017748056,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,12,2226,3.513428524408533,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,13,2560,1.3213602968505826,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,14,2932,3.659835695887657,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,15,3346,-5.652605349021792,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,16,3808,-1.4140904299060808,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,17,4322,7.102851250627684,True,3.3
1,86,2,m,7,2021-03-24 10:33:35.351841,Sub1_Trial138_1.wav,0,18,4895,-0.9403555011742809,True,3.3
