subj,session,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,23,16519.90424416,0.07485103,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,24,19092.74669051,0.56296769,False,0.142
1,1,2,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_4.wav,1,25,22050.00000000,-4.94983914,False,0.142
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,0,100.0,-0.8413748087013819,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,1,191.0,-0.508212207818517,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,2,293.0,-0.7064540836890618,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,3,406.0,-1.563085776129798,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,4,533.0,-1.0042739144132906,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,5,673.0,0.5503436455299164,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,6,830.0,0.6355236363614536,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,7,1004.0,0.18258331583897092,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,8,1199.0,1.0775510715714662,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,9,1416.0,0.07035631583735258,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,10,1657.0,-0.17815117497723656,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,11,1926.0,-0.1694125054827026,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,12,2226.0,0.16378442502596796,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,13,2560.0,0.34787304916463235,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,14,2932.0,0.0626149612132311,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,15,3346.0,0.2996597360864252,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,16,3808.0,0.42937102971314384,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,17,4322.0,-0.41737623835229487,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,18,4895.0,0.059966459920471,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,19,5534.0,0.27708525932290595,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,20,6245.0,0.17960724922351168,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,21,7037.0,0.1292321690281848,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,22,7920.0,0.0646792137345456,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,23,8904.0,0.35333251063145654,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,24,10000.0,0.5238291016113881,True,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_tours.wav,1,0,100.0,0.32790130543443463,False,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_tours.wav,1,1,191.0,0.8071364324035921,False,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_tours.wav,1,2,293.0,0.582123610043553,False,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_tours.wav,1,3,406.0,1.0140082293210155,False,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_tours.wav,1,4,533.0,1.5602554184356976,False,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_tours.wav,1,5,673.0,0.023188630015347246,False,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_tours.wav,1,6,830.0,-0.6101534486353236,False,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_tours.wav,1,7,1004.0,-0.3548441596986841,False,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_tours.wav,1,8,1199.0,-0.30599388164314356,False,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_tours.wav,1,9,1416.0,0.21693787511408644,False,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_tours.wav,1,10,1657.0,-0.2097701057829011,False,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_tours.wav,1,11,1926.0,0.4803248463849489,False,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_tours.wav,1,12,2226.0,0.05824586400483771,False,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_tours.wav,1,13,2560.0,-0.07967691123039847,False,0.139
1,1,3,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_antismile_tours.wav,1,14,2932.0,-0.3977737983665839,False,0.139
